Nama Produk,Lemak Total (g),Lemak Jenuh (g),Gula (g),Natrium (g),Sajian per Kemasan,Takaran Saji,Kategori,Gula (g) per 100 ml,Lemak Total (g) per 100 ml,Natrium (g) per 100 ml
Jangkrik Mas Serbat Uwuh,0.0,0.0,10,0.02,1.0,12.0,Minuman Jahe,83.33333333333334,0.0,0.16666666666666669
Jangkrik Mas Serbat Jintan Hitam,0.0,0.0,11,0.0,1.0,12.0,Minuman Jahe,91.66666666666666,0.0,0.0
INTRA Jahe Wangi,0.0,0.0,16,0.055,1.0,18.0,Minuman Serbuk,88.88888888888889,0.0,0.3055555555555556
INTRA Jahe Susu,1.5,1.5,23,0.07,1.0,26.0,Minuman Serbuk,88.46153846153845,5.769230769230769,0.2692307692307693
KOKITA Wedang Jahe,0.0,0.0,16,0.0,1.0,18.0,Minuman Botanikal Serbuk,88.88888888888889,0.0,0.0
Nutrisari Leci,0.0,0.0,9,0.015,1.0,11.0,Minuman Serbuk Rasa,81.81818181818183,0.0,0.13636363636363635
Nutrisari Kelapa Muda,0.0,0.0,9,0.12,1.0,11.0,Minuman Serbuk Rasa,81.81818181818183,0.0,1.0909090909090908
Nutrisari Sirsak,0.0,0.0,10,0.02,1.0,11.0,Minuman Serbuk Rasa,90.9090909090909,0.0,0.18181818181818182
Tora Moka Kopi Susu & Cokelat,3.5,3.0,14,0.05,1.0,28.0,Minuman Serbuk Kopi,50.0,12.5,0.17857142857142858
Nutrisari Mangga Gandaria,0.0,0.0,9,0.02,1.0,11.0,Minuman Serbuk Rasa,81.81818181818183,0.0,0.18181818181818182
Nutrisari Melon,0.0,0.0,9,0.025,1.0,11.0,Minuman Serbuk Rasa,81.81818181818183,0.0,0.2272727272727273
Nutrisari Strawberry,0.0,0.0,8,0.02,1.0,11.0,Minuman Serbuk Rasa,72.72727272727273,0.0,0.18181818181818182
Sidomuncul Susu Jahe,1.5,1.0,20,0.005,1.0,27.0,Minuman Serbuk,74.07407407407408,5.555555555555555,0.018518518518518517
Nutrisari Jeruk Peras,0.0,0.0,12,0.035,1.0,14.0,Minuman Serbuk Rasa,85.71428571428571,0.0,0.25
Jahe Merah AMH,0.0,0.0,20,0.0,2.0,20.0,Minuman Serbuk,100.0,0.0,0.0
Nutrisari Madu Kurma,0.0,0.0,9,0.02,1.0,14.0,Minuman Serbuk Rasa,64.28571428571429,0.0,0.14285714285714285
Nutrisari Madu Jeruk,0.0,0.0,9,0.015,1.0,11.0,Minuman Serbuk Rasa,81.81818181818183,0.0,0.13636363636363635
Tora Cafe Choco Latte,2.5,2.5,14,0.11,1.0,23.5,Minuman Serbuk Kopi,59.57446808510638,10.638297872340425,0.46808510638297873
Nutrisari Markisa,0.0,0.0,11,0.05,1.0,11.0,Minuman Serbuk Rasa,100.0,0.0,0.4545454545454546
Nutrisari Sweet Orange,0.0,0.0,12,0.01,1.0,14.0,Minuman Serbuk Rasa,85.71428571428571,0.0,0.07142857142857142
Nutrisari Anggur,0.0,0.0,8,0.02,1.0,11.0,Minuman Serbuk Rasa,72.72727272727273,0.0,0.18181818181818182
Nutrisari Jeju Orange,0.0,0.0,9,0.015,1.0,11.0,Minuman Serbuk Rasa,81.81818181818183,0.0,0.13636363636363635
Marimas Jambu Biji,0.0,0.0,2,0.065,1.0,6.0,Minuman Serbuk Rasa,33.33333333333333,0.0,1.0833333333333335
Marimas Cincau,0.0,0.0,5,0.03,1.0,6.0,Minuman Serbuk Rasa,83.33333333333334,0.0,0.5
Pop Ice Blueberry,1.5,1.5,18,0.06,1.0,23.0,Minuman Serbuk Mengandung Susu,78.26086956521739,6.521739130434782,0.2608695652173913
Pop Ice Es Doger,1.5,1.5,17,0.02,1.0,23.0,Minuman Serbuk Rasa,73.91304347826086,6.521739130434782,0.08695652173913043
